ID,분야,제목,저자/팀,연도/기준 문헌,자료 유형,무엇을 모델링했나,출처
M109,음악·생성적 형태,Artificial Evolution for Computer Graphics,Karl Sims,1991,paper,형태·질감·움직임이 변이와 사람의 선택을 거쳐 진화하도록 만드는 생성 시스템.,https://www.karlsims.com/papers/siggraph91-backup.html
M110,음악·생성적 형태,Eden: an evolutionary sonic ecosystem,Jon McCormack,2001,paper/art project,소리를 내는 가상 생명체들이 자원을 두고 경쟁·번식하며 소리의 생태계를 만드는 과정.,https://research.monash.edu/en/publications/eden-an-evolutionary-sonic-ecosystem/
M111,음악·생성적 형태,E-volver,Driessens & Verstappen,2006,art project,사람의 시각적 선호가 선택 압력으로 작용해 애니메이션이 진화하는 시스템.,https://www.driessensverstappen.nl/commissions/e-volver/E-volverLUMC.html
M112,작동하는 시스템으로서의 예술,Black Shoals Stock Market Planetarium,Lise Autogena; Joshua Portway,project; page undated,art project,"주가의 관계를 별 사이 인력으로, 거래량을 가상 생명체의 먹이로 바꾸는 생태계.",https://www.blackshoals.net/the-project
M113,작동하는 시스템으로서의 예술,The Environmentalist Stock Exchange,Cream on Chrome,2022,art project,생물종에 대한 가상 투자와 개체 수·먹이사슬의 변화를 연결한 생태 주식시장.,https://cream-on-chrome.com/the-environmentalist-stock-exchange/
M114,작동하는 시스템으로서의 예술,A-Volve,Christa Sommerer; Laurent Mignonneau,1994,art project,관객이 그린 생명체의 형태가 움직임·생존·번식에 영향을 주는 가상 생태계.,https://interface.ufg.ac.at/christa-laurent/A-Volve.html
M115,작동하는 시스템으로서의 예술,Life Spacies,Christa Sommerer; Laurent Mignonneau,1997,art project,사람들이 보낸 문장을 유전적 코드로 바꾸고 그 생명체들이 상호작용·번식하게 하는 세계.,https://interface.ufg.ac.at/christa-laurent/LifeSpacies.html
M116,작동하는 시스템으로서의 예술,Process Compendium,Casey Reas,2004 onward,art project,개체의 형태·행동·상호작용 규칙에서 복잡한 그림이 스스로 만들어지는 과정.,https://www.gray.reas.com/compendium_text/
M117,작동하는 시스템으로서의 예술,The Giver of Names,David Rokeby,1990 onward (project-page date),art project,사물을 지각하고 단어를 연상해 이름·문장을 만들어내는 기계적 해석 과정. 수리 인과모형보다는 알고리즘적 지각 시스템.,https://www.davidrokeby.com/gon.html
M118,작동하는 시스템으로서의 예술,The Electric Sheep Screen-Saver: A Case Study in Aesthetic Evolution,Scott Draves,2005,paper/art project,관객 투표와 유전 알고리즘을 결합해 프랙털 애니메이션이 진화하는 과정.,https://draves.org/evomusart05/
M119,인접 사례: 데이터 변환,Emotional Stock Exchange (e-stock),Maurice Benayoun,2005,art/data mapping,세계의 감정 지표를 주식 시세처럼 표시. 이번에 공개된 인과적 가격 수식은 확인하지 못함.,https://benayoun.com/search.php
M120,인접 사례: 데이터 변환,Pulse Room,Rafael Lozano-Hemmer,2006,art/data mapping,참여자의 심박을 전구의 점멸과 기록의 대기열로 변환. 심장 작동 원리를 설명하는 수학 모형은 아님.,https://www.lozano-hemmer.com/pulse_room.php
